sekolah_id,siap_id,nama,npsn,is_negeri,is_sbi,k_kota,k_propinsi,kota,propinsi,kompetensi,enable,jml_pagu,jml_luar
22010209,20103638,SMP NEGERI 208,20103638,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,44,0
22010210,20103637,SMP NEGERI 209,20103637,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,51,0
22010211,20103636,SMP NEGERI 210,20103636,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,45,0
22010212,20102521,SMP NEGERI 211,20102521,true,false,20105,201,Kota Jakarta Selatan,DKI Jakarta,Umum,true,39,0
22010213,20102520,SMP NEGERI 212,20102520,true,false,20105,201,Kota Jakarta Selatan,DKI Jakarta,Umum,true,45,0
22010214,20103635,SMP NEGERI 213,20103635,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,51,0
22010215,20103634,SMP NEGERI 214,20103634,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,39,0
22010216,20101531,SMP NEGERI 215,20101531,true,false,20104,201,Kota Jakarta Barat,DKI Jakarta,Umum,true,51,0
22010217,20103633,SMP NEGERI 217,20103633,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,45,0
22010218,20102519,SMP NEGERI 218,20102519,true,true,20105,201,Kota Jakarta Selatan,DKI Jakarta,Umum,true,44,0
22010219,20101530,SMP NEGERI 219,20101530,true,false,20104,201,Kota Jakarta Barat,DKI Jakarta,Umum,true,44,0
22010220,20101528,SMP NEGERI 220,20101528,true,false,20104,201,Kota Jakarta Barat,DKI Jakarta,Umum,true,45,0
22010221,20100771,SMP NEGERI 221,20100771,true,false,20103,201,Kota Jakarta Utara,DKI Jakarta,Umum,true,51,0
22010222,20103632,SMP NEGERI 222,20103632,true,false,20106,201,Kota Jakarta Timur,DKI Jakarta,Umum,true,38,0
